Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
41,Spectrogram 1,1,3589.527221,3589.733859,2808.1,5860.3,S1123KIP1_048K_S04_S7112_20240113_070004.flac,589.2072,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2906.25,5671.875,3515.625,0.1839,3589.6426,3589.5396,3589.7234,Syllable,,S04
43,Spectrogram 1,1,708.6818867,708.9167019,2319.7,5738.2,S1123KIP1_048K_S04_S7112_20240109_070004.flac,108.6179,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2531.25,5484.375,3281.25,0.2102,708.7931,708.6921,708.9023,Syllable,,S04
44,Spectrogram 1,1,708.9354871,709.1327318,2258.7,5860.3,S1123KIP1_048K_S04_S7112_20240109_070004.flac,108.8715,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2437.5,5625,3281.25,0.1778,709.0296,708.9467,709.1246,Syllable,,S04
45,Spectrogram 1,1,709.1515171,709.4145101,1953.4,6043.5,S1123KIP1_048K_S04_S7112_20240109_070004.flac,109.0875,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2156.25,5718.75,3281.25,0.2364,709.2802,709.1629,709.3994,Syllable,,S04
46,Spectrogram 1,1,709.4332953,709.6681105,2319.7,6043.5,S1123KIP1_048K_S04_S7112_20240109_070004.flac,109.3693,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2531.25,5765.625,3281.25,0.2081,709.5449,709.4438,709.652,Syllable,,S04
47,Spectrogram 1,1,708.4188936,708.6818867,2380.8,5860.3,S1123KIP1_048K_S04_S7112_20240109_070004.flac,108.3549,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2578.125,5625,3281.25,0.2324,708.5466,708.4314,708.6638,Syllable,,S04
50,Spectrogram 1,1,1092.933621,1093.168436,2563.9,6165.6,S1123KIP1_048K_S04_S7112_20240109_070004.flac,492.8696,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2718.75,5953.125,3281.25,0.2081,1093.0465,1092.9455,1093.1536,Syllable,,S04
51,Spectrogram 1,1,1093.149651,1093.384466,2563.9,6043.5,S1123KIP1_048K_S04_S7112_20240109_070004.flac,493.0856,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2718.75,5765.625,3281.25,0.2081,1093.2627,1093.1617,1093.3698,Syllable,,S04
52,Spectrogram 1,1,1093.403251,1093.628674,2380.8,6653.9,S1123KIP1_048K_S04_S7112_20240109_070004.flac,493.3392,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2625,6375,3281.25,0.198,1093.5093,1093.4163,1093.6144,Syllable,,S04
53,Spectrogram 1,1,1093.675637,1093.825919,2563.9,6592.9,S1123KIP1_048K_S04_S7112_20240109_070004.flac,493.6116,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2718.75,6328.125,3562.5,0.1334,1093.7417,1093.6831,1093.8164,Syllable,,S04
54,Spectrogram 1,1,1093.863489,1094.107697,2502.9,6592.9,S1123KIP1_048K_S04_S7112_20240109_070004.flac,493.7995,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2671.875,6375,3281.25,0.2203,1093.9842,1093.8771,1094.0973,Syllable,,S04
55,Spectrogram 1,1,1094.126482,1094.33312,2441.8,6226.6,S1123KIP1_048K_S04_S7112_20240109_070004.flac,494.0625,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2671.875,5953.125,3281.25,0.1819,1094.2247,1094.1378,1094.3196,Syllable,,S04
